epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3328,1.1276,1.22868,1.33804,0.69972,0.80642,0.76086,0.53809,1.00885,0.99503,1.23781,0.000475169,0.000475169,0.000475169
2,177.622,1.19179,1.31143,1.37904,0.67783,0.65445,0.66053,0.43468,1.14139,1.36813,1.33416,0.000913823,0.000913823,0.000913823
3,258.515,1.23109,1.38143,1.3977,0.66312,0.69864,0.66792,0.42147,1.18254,1.28803,1.36362,0.00131475,0.00131475,0.00131475
4,339.203,1.23403,1.35982,1.402,0.70633,0.76484,0.73593,0.48437,1.09864,1.10486,1.28179,0.00125923,0.00125923,0.00125923
5,420.303,1.17578,1.30136,1.36124,0.68243,0.74331,0.74597,0.506,1.09314,1.14628,1.29429,0.00120265,0.00120265,0.00120265
6,500.225,1.15879,1.23213,1.35421,0.69529,0.83061,0.78089,0.52986,1.07924,0.99822,1.24935,0.00114606,0.00114606,0.00114606
7,580.408,1.13163,1.1948,1.32096,0.708,0.7954,0.76022,0.51908,1.04041,0.99482,1.24526,0.00108947,0.00108947,0.00108947
8,660.129,1.11382,1.14003,1.3139,0.73131,0.87936,0.75635,0.53811,0.97939,0.98297,1.21525,0.00103288,0.00103288,0.00103288
9,738.82,1.0826,1.09023,1.29277,0.76175,0.83318,0.7879,0.56418,0.98694,0.87366,1.19231,0.000976293,0.000976293,0.000976293
10,817.726,1.05986,1.07283,1.27617,0.75522,0.89604,0.82974,0.62141,0.92935,0.79676,1.15979,0.000919704,0.000919704,0.000919704
11,897.445,1.05333,1.00666,1.27739,0.76212,0.905,0.82429,0.60594,0.94997,0.78441,1.18253,0.000863116,0.000863116,0.000863116
12,977.098,1.01833,0.98714,1.24679,0.76436,0.91189,0.81044,0.60995,0.90997,0.77935,1.14464,0.000806528,0.000806528,0.000806528
13,1055.62,0.99622,0.93948,1.24591,0.76106,0.9396,0.84344,0.63033,0.89224,0.75354,1.11984,0.000749939,0.000749939,0.000749939
14,1134.48,0.97659,0.91606,1.22807,0.73567,0.933,0.83593,0.63909,0.86456,0.73888,1.10247,0.000693351,0.000693351,0.000693351
15,1213.14,0.9708,0.90357,1.21151,0.76743,0.92333,0.84161,0.65372,0.84942,0.71389,1.10068,0.000636762,0.000636762,0.000636762
16,1290.02,0.8305,0.61881,1.14404,0.77137,0.92454,0.86736,0.6735,0.8361,0.70421,1.08914,0.000580174,0.000580174,0.000580174
17,1364.43,0.80386,0.57815,1.13089,0.77935,0.95576,0.88368,0.6906,0.83601,0.66386,1.08884,0.000523586,0.000523586,0.000523586
18,1438.45,0.77737,0.55864,1.10248,0.79088,0.92357,0.86056,0.68187,0.81829,0.6778,1.06479,0.000466997,0.000466997,0.000466997
19,1512.92,0.75887,0.5242,1.09422,0.77642,0.95288,0.88192,0.69961,0.81579,0.6501,1.074,0.000410409,0.000410409,0.000410409
20,1587.76,0.73264,0.50543,1.07532,0.78883,0.96949,0.89722,0.73332,0.75207,0.62108,1.02266,0.00035382,0.00035382,0.00035382
21,1662.07,0.70664,0.48155,1.06151,0.79067,0.96099,0.89457,0.73385,0.75272,0.61391,1.0117,0.000297232,0.000297232,0.000297232
22,1737.85,0.68399,0.46347,1.05315,0.7813,0.96939,0.89277,0.73945,0.72873,0.60665,1.01018,0.000240644,0.000240644,0.000240644
23,1811.86,0.66361,0.43863,1.03881,0.78973,0.9679,0.91112,0.76202,0.70476,0.57779,0.99619,0.000184055,0.000184055,0.000184055
24,1887.69,0.64398,0.43373,1.01877,0.78973,0.972,0.91761,0.77345,0.68884,0.57276,0.98748,0.000127467,0.000127467,0.000127467
25,1962.84,0.62299,0.41701,1.01092,0.7945,0.97499,0.92273,0.78014,0.67797,0.5582,0.98215,7.08784e-05,7.08784e-05,7.08784e-05
